date,year_month,year,month,day_of_week,member_casual,ride_count
2021-04-02,2021 April,2021,April,Friday,casual,262
2021-04-09,2021 April,2021,April,Friday,casual,408
2021-04-16,2021 April,2021,April,Friday,casual,333
2021-04-23,2021 April,2021,April,Friday,casual,433
2021-04-30,2021 April,2021,April,Friday,casual,369
2021-08-06,2021 August,2021,August,Friday,casual,1152
2021-08-13,2021 August,2021,August,Friday,casual,1220
2021-08-20,2021 August,2021,August,Friday,casual,1213
2021-08-27,2021 August,2021,August,Friday,casual,1079
2020-12-04,2020 December,2020,December,Friday,casual,131
2020-12-11,2020 December,2020,December,Friday,casual,64
2020-12-18,2020 December,2020,December,Friday,casual,91
2020-12-25,2020 December,2020,December,Friday,casual,20
2021-02-05,2021 February,2021,February,Friday,casual,16
2021-02-12,2021 February,2021,February,Friday,casual,26
2021-02-19,2021 February,2021,February,Friday,casual,11
2021-02-26,2021 February,2021,February,Friday,casual,70
2021-01-01,2021 January,2021,January,Friday,casual,14
2021-01-08,2021 January,2021,January,Friday,casual,59
2021-01-15,2021 January,2021,January,Friday,casual,63
2021-01-22,2021 January,2021,January,Friday,casual,43
2021-01-29,2021 January,2021,January,Friday,casual,40
2021-07-02,2021 July,2021,July,Friday,casual,1094
2021-07-09,2021 July,2021,July,Friday,casual,1212
2021-07-16,2021 July,2021,July,Friday,casual,919
2021-07-23,2021 July,2021,July,Friday,casual,1098
2021-07-30,2021 July,2021,July,Friday,casual,1247
2021-06-04,2021 June,2021,June,Friday,casual,1000
2021-06-11,2021 June,2021,June,Friday,casual,1274
2021-06-18,2021 June,2021,June,Friday,casual,1243
2021-06-25,2021 June,2021,June,Friday,casual,658
2021-03-05,2021 March,2021,March,Friday,casual,97
2021-03-12,2021 March,2021,March,Friday,casual,170
2021-03-19,2021 March,2021,March,Friday,casual,156
2021-03-26,2021 March,2021,March,Friday,casual,138
2021-05-07,2021 May,2021,May,Friday,casual,387
2021-05-14,2021 May,2021,May,Friday,casual,798
2021-05-21,2021 May,2021,May,Friday,casual,969
2021-05-28,2021 May,2021,May,Friday,casual,222
2020-11-06,2020 November,2020,November,Friday,casual,502
2020-11-13,2020 November,2020,November,Friday,casual,183
2020-11-20,2020 November,2020,November,Friday,casual,233
2020-11-27,2020 November,2020,November,Friday,casual,135
2020-10-02,2020 October,2020,October,Friday,casual,391
2020-10-09,2020 October,2020,October,Friday,casual,791
2020-10-16,2020 October,2020,October,Friday,casual,329
2020-10-23,2020 October,2020,October,Friday,casual,145
2020-10-30,2020 October,2020,October,Friday,casual,219
2020-09-04,2020 September,2020,September,Friday,casual,826
2020-09-11,2020 September,2020,September,Friday,casual,407
2020-09-18,2020 September,2020,September,Friday,casual,492
2020-09-25,2020 September,2020,September,Friday,casual,774
2021-04-05,2021 April,2021,April,Monday,casual,341
2021-04-12,2021 April,2021,April,Monday,casual,306
2021-04-19,2021 April,2021,April,Monday,casual,142
2021-04-26,2021 April,2021,April,Monday,casual,466
2021-08-02,2021 August,2021,August,Monday,casual,884
2021-08-09,2021 August,2021,August,Monday,casual,610
2021-08-16,2021 August,2021,August,Monday,casual,871
2021-08-23,2021 August,2021,August,Monday,casual,894
2021-08-30,2021 August,2021,August,Monday,casual,767
2020-12-07,2020 December,2020,December,Monday,casual,79
2020-12-14,2020 December,2020,December,Monday,casual,63
2020-12-21,2020 December,2020,December,Monday,casual,92
2020-12-28,2020 December,2020,December,Monday,casual,53
2021-02-01,2021 February,2021,February,Monday,casual,13
2021-02-08,2021 February,2021,February,Monday,casual,7
2021-02-15,2021 February,2021,February,Monday,casual,2
2021-02-22,2021 February,2021,February,Monday,casual,21
2021-01-04,2021 January,2021,January,Monday,casual,44
2021-01-11,2021 January,2021,January,Monday,casual,46
2021-01-18,2021 January,2021,January,Monday,casual,50
2021-01-25,2021 January,2021,January,Monday,casual,41
2021-07-05,2021 July,2021,July,Monday,casual,1328
2021-07-12,2021 July,2021,July,Monday,casual,784
2021-07-19,2021 July,2021,July,Monday,casual,847
2021-07-26,2021 July,2021,July,Monday,casual,844
2021-06-07,2021 June,2021,June,Monday,casual,577
2021-06-14,2021 June,2021,June,Monday,casual,873
2021-06-21,2021 June,2021,June,Monday,casual,724
2021-06-28,2021 June,2021,June,Monday,casual,509
2021-03-01,2021 March,2021,March,Monday,casual,39
2021-03-08,2021 March,2021,March,Monday,casual,229
2021-03-15,2021 March,2021,March,Monday,casual,28
2021-03-22,2021 March,2021,March,Monday,casual,373
2021-03-29,2021 March,2021,March,Monday,casual,274
2021-05-03,2021 May,2021,May,Monday,casual,308
2021-05-10,2021 May,2021,May,Monday,casual,236
2021-05-17,2021 May,2021,May,Monday,casual,472
2021-05-24,2021 May,2021,May,Monday,casual,722
2021-05-31,2021 May,2021,May,Monday,casual,1016
2020-11-02,2020 November,2020,November,Monday,casual,153
2020-11-09,2020 November,2020,November,Monday,casual,393
2020-11-16,2020 November,2020,November,Monday,casual,131
2020-11-23,2020 November,2020,November,Monday,casual,137
2020-11-30,2020 November,2020,November,Monday,casual,54
2020-10-05,2020 October,2020,October,Monday,casual,304
2020-10-12,2020 October,2020,October,Monday,casual,252
2020-10-19,2020 October,2020,October,Monday,casual,144
2020-10-26,2020 October,2020,October,Monday,casual,94
2020-09-07,2020 September,2020,September,Monday,casual,1008
2020-09-14,2020 September,2020,September,Monday,casual,407
2020-09-21,2020 September,2020,September,Monday,casual,480
2020-09-28,2020 September,2020,September,Monday,casual,265
2021-04-03,2021 April,2021,April,Saturday,casual,891
2021-04-10,2021 April,2021,April,Saturday,casual,167
2021-04-17,2021 April,2021,April,Saturday,casual,540
2021-04-24,2021 April,2021,April,Saturday,casual,534
2021-08-07,2021 August,2021,August,Saturday,casual,1781
2021-08-14,2021 August,2021,August,Saturday,casual,1843
2021-08-21,2021 August,2021,August,Saturday,casual,1490
2021-08-28,2021 August,2021,August,Saturday,casual,1497
2020-12-05,2020 December,2020,December,Saturday,casual,148
2020-12-12,2020 December,2020,December,Saturday,casual,47
2020-12-19,2020 December,2020,December,Saturday,casual,118
2020-12-26,2020 December,2020,December,Saturday,casual,62
2021-02-06,2021 February,2021,February,Saturday,casual,9
2021-02-13,2021 February,2021,February,Saturday,casual,8
2021-02-20,2021 February,2021,February,Saturday,casual,19
2021-02-27,2021 February,2021,February,Saturday,casual,261
2021-01-02,2021 January,2021,January,Saturday,casual,45
2021-01-09,2021 January,2021,January,Saturday,casual,113
2021-01-16,2021 January,2021,January,Saturday,casual,78
2021-01-23,2021 January,2021,January,Saturday,casual,61
2021-01-30,2021 January,2021,January,Saturday,casual,23
2021-07-03,2021 July,2021,July,Saturday,casual,1680
2021-07-10,2021 July,2021,July,Saturday,casual,1234
2021-07-17,2021 July,2021,July,Saturday,casual,1818
2021-07-24,2021 July,2021,July,Saturday,casual,1597
2021-07-31,2021 July,2021,July,Saturday,casual,1772
2021-06-05,2021 June,2021,June,Saturday,casual,1788
2021-06-12,2021 June,2021,June,Saturday,casual,1665
2021-06-19,2021 June,2021,June,Saturday,casual,1704
2021-06-26,2021 June,2021,June,Saturday,casual,645
2021-03-06,2021 March,2021,March,Saturday,casual,213
2021-03-13,2021 March,2021,March,Saturday,casual,536
2021-03-20,2021 March,2021,March,Saturday,casual,494
2021-03-27,2021 March,2021,March,Saturday,casual,512
2021-05-01,2021 May,2021,May,Saturday,casual,1162
2021-05-08,2021 May,2021,May,Saturday,casual,593
2021-05-15,2021 May,2021,May,Saturday,casual,680
2021-05-22,2021 May,2021,May,Saturday,casual,1635
2021-05-29,2021 May,2021,May,Saturday,casual,967
2020-11-07,2020 November,2020,November,Saturday,casual,994
2020-11-14,2020 November,2020,November,Saturday,casual,190
2020-11-21,2020 November,2020,November,Saturday,casual,182
2020-11-28,2020 November,2020,November,Saturday,casual,246
2020-10-03,2020 October,2020,October,Saturday,casual,492
2020-10-10,2020 October,2020,October,Saturday,casual,1120
2020-10-17,2020 October,2020,October,Saturday,casual,535
2020-10-24,2020 October,2020,October,Saturday,casual,404
