date,year_month,year,month,day_of_week,member_casual,ride_length
2021-04-02,2021 April,2021,April,Friday,casual,1861500
2021-04-09,2021 April,2021,April,Friday,casual,920040
2021-04-16,2021 April,2021,April,Friday,casual,522120
2021-04-23,2021 April,2021,April,Friday,casual,618540
2021-04-30,2021 April,2021,April,Friday,casual,672120
2021-08-06,2021 August,2021,August,Friday,casual,1860240
2021-08-13,2021 August,2021,August,Friday,casual,2106840
2021-08-20,2021 August,2021,August,Friday,casual,2435580
2021-08-27,2021 August,2021,August,Friday,casual,1680360
2020-12-04,2020 December,2020,December,Friday,casual,163620
2020-12-11,2020 December,2020,December,Friday,casual,72420
2020-12-18,2020 December,2020,December,Friday,casual,114180
2020-12-25,2020 December,2020,December,Friday,casual,22320
2021-02-05,2021 February,2021,February,Friday,casual,193260
2021-02-12,2021 February,2021,February,Friday,casual,31140
2021-02-19,2021 February,2021,February,Friday,casual,87840
2021-02-26,2021 February,2021,February,Friday,casual,132540
2021-01-01,2021 January,2021,January,Friday,casual,12480
2021-01-08,2021 January,2021,January,Friday,casual,61260
2021-01-15,2021 January,2021,January,Friday,casual,62220
2021-01-22,2021 January,2021,January,Friday,casual,32640
2021-01-29,2021 January,2021,January,Friday,casual,41460
2021-07-02,2021 July,2021,July,Friday,casual,1858440
2021-07-09,2021 July,2021,July,Friday,casual,2159100
2021-07-16,2021 July,2021,July,Friday,casual,1830120
2021-07-23,2021 July,2021,July,Friday,casual,1739460
2021-07-30,2021 July,2021,July,Friday,casual,2007480
2021-06-04,2021 June,2021,June,Friday,casual,5273460
2021-06-11,2021 June,2021,June,Friday,casual,2697480
2021-06-18,2021 June,2021,June,Friday,casual,2052780
2021-06-25,2021 June,2021,June,Friday,casual,1111980
2021-03-05,2021 March,2021,March,Friday,casual,147180
2021-03-12,2021 March,2021,March,Friday,casual,213360
2021-03-19,2021 March,2021,March,Friday,casual,201180
2021-03-26,2021 March,2021,March,Friday,casual,187680
2021-05-07,2021 May,2021,May,Friday,casual,1161300
2021-05-14,2021 May,2021,May,Friday,casual,1373880
2021-05-21,2021 May,2021,May,Friday,casual,3375180
2021-05-28,2021 May,2021,May,Friday,casual,228060
2020-11-06,2020 November,2020,November,Friday,casual,939960
2020-11-13,2020 November,2020,November,Friday,casual,223860
2020-11-20,2020 November,2020,November,Friday,casual,430500
2020-11-27,2020 November,2020,November,Friday,casual,331380
2020-10-02,2020 October,2020,October,Friday,casual,1636140
2020-10-09,2020 October,2020,October,Friday,casual,1480920
2020-10-16,2020 October,2020,October,Friday,casual,629580
2020-10-23,2020 October,2020,October,Friday,casual,153540
2020-10-30,2020 October,2020,October,Friday,casual,273360
2020-09-04,2020 September,2020,September,Friday,casual,4131300
2020-09-11,2020 September,2020,September,Friday,casual,784680
2020-09-18,2020 September,2020,September,Friday,casual,1385700
2020-09-25,2020 September,2020,September,Friday,casual,1474440
2021-04-05,2021 April,2021,April,Monday,casual,768960
2021-04-12,2021 April,2021,April,Monday,casual,734160
2021-04-19,2021 April,2021,April,Monday,casual,356400
2021-04-26,2021 April,2021,April,Monday,casual,1195440
2021-08-02,2021 August,2021,August,Monday,casual,1426260
2021-08-09,2021 August,2021,August,Monday,casual,1120260
2021-08-16,2021 August,2021,August,Monday,casual,1836780
2021-08-23,2021 August,2021,August,Monday,casual,1435800
2021-08-30,2021 August,2021,August,Monday,casual,1092240
2020-12-07,2020 December,2020,December,Monday,casual,84780
2020-12-14,2020 December,2020,December,Monday,casual,69480
2020-12-21,2020 December,2020,December,Monday,casual,101160
2020-12-28,2020 December,2020,December,Monday,casual,67020
2021-02-01,2021 February,2021,February,Monday,casual,11880
2021-02-08,2021 February,2021,February,Monday,casual,14760
2021-02-15,2021 February,2021,February,Monday,casual,2100
2021-02-22,2021 February,2021,February,Monday,casual,33000
2021-01-04,2021 January,2021,January,Monday,casual,52680
2021-01-11,2021 January,2021,January,Monday,casual,56340
2021-01-18,2021 January,2021,January,Monday,casual,45480
2021-01-25,2021 January,2021,January,Monday,casual,54780
2021-07-05,2021 July,2021,July,Monday,casual,4230180
