year_month,year,month,member_casual,ride_count
2021 April,2021,April,casual,356.5
2021 August,2021,August,casual,1055.258064516129
2020 December,2020,December,casual,78.7741935483871
2021 February,2021,February,casual,29.142857142857142
2021 January,2021,January,casual,46.70967741935484
2021 July,2021,July,casual,1118.0967741935483
2021 June,2021,June,casual,965.7
2021 March,2021,March,casual,213.38709677419354
2021 May,2021,May,casual,644.741935483871
2020 November,2020,November,casual,228.53333333333333
2020 October,2020,October,casual,363.258064516129
2020 September,2020,September,casual,597.9
2021 April,2021,April,member,517.6333333333333
2021 August,2021,August,member,976.8064516129032
2020 December,2020,December,member,257.48387096774195
2021 February,2021,February,member,110.42857142857143
2021 January,2021,January,member,198.70967741935485
2021 July,2021,July,member,955.1935483870968
2021 June,2021,June,member,916.5666666666667
2021 March,2021,March,member,360.64516129032256
2021 May,2021,May,member,689.516129032258
2020 November,2020,November,member,444.3
2020 October,2020,October,member,609.8064516129032
2020 September,2020,September,member,784.9666666666667
