year_month,year,month,member_casual,ride_length,ride_length_mins,ride_length_hour
2021 April,2021,April,casual,941448,15690.8,261.5133333333333
2021 August,2021,August,casual,1945612,32426.866666666665,540.4477777777778
2020 December,2020,December,casual,142130,2368.8333333333335,39.48055555555556
2021 February,2021,February,casual,65187,1086.45,18.1075
2021 January,2021,January,casual,74392,1239.8666666666666,20.66444444444444
2021 July,2021,July,casual,2257890,37631.5,627.1916666666667
2021 June,2021,June,casual,2172248,36204.13333333333,603.4022222222222
2021 March,2021,March,casual,442689,7378.15,122.96916666666667
2021 May,2021,May,casual,1603966,26732.766666666666,445.5461111111111
2020 November,2020,November,casual,433872,7231.2,120.52
2020 October,2020,October,casual,715151,11919.183333333332,198.65305555555554
2020 September,2020,September,casual,1370036,22833.933333333334,380.5655555555556
2021 April,2021,April,member,469604,7826.733333333334,130.44555555555556
2021 August,2021,August,member,853521,14225.35,237.08916666666667
2020 December,2020,December,member,201741,3362.35,56.03916666666667
2021 February,2021,February,member,118538,1975.6333333333334,32.92722222222223
2021 January,2021,January,member,154021,2567.016666666667,42.783611111111114
2021 July,2021,July,member,843050,14050.833333333334,234.18055555555557
2021 June,2021,June,member,823118,13718.633333333333,228.64388888888888
2021 March,2021,March,member,307438,5123.966666666666,85.39944444444444
2021 May,2021,May,member,621971,10366.183333333332,172.7697222222222
2020 November,2020,November,member,366074,6101.233333333334,101.68722222222223
2020 October,2020,October,member,530098,8834.966666666667,147.24944444444446
2020 September,2020,September,member,782446,13040.766666666666,217.3461111111111
