station,ride_count
2112 W Peterson Ave,68
63rd St Beach,193
900 W Harrison St,441
Aberdeen St & Jackson Blvd,880
Aberdeen St & Monroe St,777
Aberdeen St & Randolph St,690
Ada St & 113th St,2
Ada St & Washington Blvd,631
Adler Planetarium,1272
Albany Ave & 26th St,18
Albany Ave & Bloomingdale Ave,347
Albany Ave & Montrose Ave,165
Altgeld Gardens,8
Archer (Damen) Ave & 37th St,54
Artesian Ave & Hubbard St,186
Ashland Ave & 13th St,238
Ashland Ave & 50th St,22
Ashland Ave & 63rd St,17
Ashland Ave & 66th St,10
Ashland Ave & 69th St,1
Ashland Ave & 74th St,6
Ashland Ave & 78th St,13
Ashland Ave & Archer Ave,72
Ashland Ave & Augusta Blvd,523
Ashland Ave & Belle Plaine Ave,204
Ashland Ave & Blackhawk St,805
Ashland Ave & Chicago Ave,772
Ashland Ave & Division St,1783
Ashland Ave & Garfield Blvd,8
Ashland Ave & Grace St,531
Ashland Ave & Grand Ave,455
Ashland Ave & Lake St,285
Ashland Ave & McDowell Ave,31
Ashland Ave & Pershing Rd,36
Ashland Ave & Wellington Ave,441
Ashland Ave & Wrightwood Ave,505
Austin Blvd & Chicago Ave,19
Austin Blvd & Lake St,37
Austin Blvd & Madison St,29
Avenue O & 118th St,13
Avenue O & 134th St,8
Avers Ave & Belmont Ave,149
Avondale Ave & Irving Park Rd,117
Baltimore Ave & 87th St,19
Base - 2132 W Hubbard Warehouse,22
Bennett Ave & 79th St,8
Benson Ave & Church St,411
Bernard St & Elston Ave,105
Big Marsh Park,27
Bissell St & Armitage Ave,1576
Blackstone Ave & Hyde Park Blvd,416
Blue Island Ave & 18th St,426
Bosworth Ave & Howard St,63
Bradley Park,13
Broadway & Argyle St,702
Broadway & Barry Ave,2330
Broadway & Belmont Ave,1353
Broadway & Berwyn Ave,654
Broadway & Cornelia Ave,1702
Broadway & Granville Ave,663
Broadway & Ridge Ave,455
Broadway & Sheridan Rd,1025
Broadway & Thorndale Ave,570
Broadway & Waveland Ave,1619
Broadway & Wilson - Truman College Vaccination Site,487
Broadway & Wilson Ave,205
Buckingham Fountain,1252
Budlong Woods Library,85
Burling St & Diversey Pkwy,936
Burling St (Halsted) & Diversey Pkwy (Temp),82
Burnham Greenway & 105th St,15
Burnham Harbor,1180
California Ave & 21st St,77
California Ave & 23rd Pl,80
California Ave & 26th St,13
California Ave & Altgeld St,320
California Ave & Byron St,185
California Ave & Cortez St,374
California Ave & Division St,299
California Ave & Fletcher St,240
California Ave & Francis Pl (Temp),398
California Ave & Lake St,53
California Ave & Milwaukee Ave,782
California Ave & Montrose Ave,232
California Ave & North Ave,370
Calumet Ave & 18th St,671
Calumet Ave & 21st St,267
Calumet Ave & 33rd St,342
Calumet Ave & 35th St,134
Calumet Ave & 51st St,74
Calumet Ave & 71st St,5
Calumet Park,30
Campbell Ave & Fullerton Ave,288
Campbell Ave & Montrose Ave,216
Campbell Ave & North Ave,465
Canal St & Adams St,1097
Canal St & Harrison St,190
